geoid10,name,population_2010
245100202001003,"Block 1003, Block Group 1, Census Tract 202, Baltimore city, Maryland",44
245100202001004,"Block 1004, Block Group 1, Census Tract 202, Baltimore city, Maryland",124
245100202001005,"Block 1005, Block Group 1, Census Tract 202, Baltimore city, Maryland",128
245100202001006,"Block 1006, Block Group 1, Census Tract 202, Baltimore city, Maryland",98
245100202001007,"Block 1007, Block Group 1, Census Tract 202, Baltimore city, Maryland",108
245100202001008,"Block 1008, Block Group 1, Census Tract 202, Baltimore city, Maryland",62
245100202001009,"Block 1009, Block Group 1, Census Tract 202, Baltimore city, Maryland",56
245100202002000,"Block 2000, Block Group 2, Census Tract 202, Baltimore city, Maryland",149
245100202002001,"Block 2001, Block Group 2, Census Tract 202, Baltimore city, Maryland",130
245100202002002,"Block 2002, Block Group 2, Census Tract 202, Baltimore city, Maryland",185
245100202002003,"Block 2003, Block Group 2, Census Tract 202, Baltimore city, Maryland",126
245100202002004,"Block 2004, Block Group 2, Census Tract 202, Baltimore city, Maryland",40
245100202002005,"Block 2005, Block Group 2, Census Tract 202, Baltimore city, Maryland",79
245100202002006,"Block 2006, Block Group 2, Census Tract 202, Baltimore city, Maryland",66
245100202002007,"Block 2007, Block Group 2, Census Tract 202, Baltimore city, Maryland",75
245100202002008,"Block 2008, Block Group 2, Census Tract 202, Baltimore city, Maryland",79
245100202002009,"Block 2009, Block Group 2, Census Tract 202, Baltimore city, Maryland",70
245100202002010,"Block 2010, Block Group 2, Census Tract 202, Baltimore city, Maryland",105
245100202002011,"Block 2011, Block Group 2, Census Tract 202, Baltimore city, Maryland",32
245100202002012,"Block 2012, Block Group 2, Census Tract 202, Baltimore city, Maryland",49
245100203001000,"Block 1000, Block Group 1, Census Tract 203, Baltimore city, Maryland",195
245100203001001,"Block 1001, Block Group 1, Census Tract 203, Baltimore city, Maryland",20
245100203001002,"Block 1002, Block Group 1, Census Tract 203, Baltimore city, Maryland",77
245100203001003,"Block 1003, Block Group 1, Census Tract 203, Baltimore city, Maryland",44
245100203001004,"Block 1004, Block Group 1, Census Tract 203, Baltimore city, Maryland",59
245100203001005,"Block 1005, Block Group 1, Census Tract 203, Baltimore city, Maryland",62
245100203001006,"Block 1006, Block Group 1, Census Tract 203, Baltimore city, Maryland",83
245100203001007,"Block 1007, Block Group 1, Census Tract 203, Baltimore city, Maryland",13
245100203001008,"Block 1008, Block Group 1, Census Tract 203, Baltimore city, Maryland",0
245100203001009,"Block 1009, Block Group 1, Census Tract 203, Baltimore city, Maryland",9
245100203001010,"Block 1010, Block Group 1, Census Tract 203, Baltimore city, Maryland",102
245100203001011,"Block 1011, Block Group 1, Census Tract 203, Baltimore city, Maryland",145
245100203001012,"Block 1012, Block Group 1, Census Tract 203, Baltimore city, Maryland",47
245100203001013,"Block 1013, Block Group 1, Census Tract 203, Baltimore city, Maryland",113
245100203001014,"Block 1014, Block Group 1, Census Tract 203, Baltimore city, Maryland",44
245100203001015,"Block 1015, Block Group 1, Census Tract 203, Baltimore city, Maryland",59
245100203001016,"Block 1016, Block Group 1, Census Tract 203, Baltimore city, Maryland",24
245100203001017,"Block 1017, Block Group 1, Census Tract 203, Baltimore city, Maryland",0
245100203001018,"Block 1018, Block Group 1, Census Tract 203, Baltimore city, Maryland",45
245100203002000,"Block 2000, Block Group 2, Census Tract 203, Baltimore city, Maryland",65
245100203002001,"Block 2001, Block Group 2, Census Tract 203, Baltimore city, Maryland",64
245100203002002,"Block 2002, Block Group 2, Census Tract 203, Baltimore city, Maryland",40
245100203002003,"Block 2003, Block Group 2, Census Tract 203, Baltimore city, Maryland",21
245100203002004,"Block 2004, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002005,"Block 2005, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002006,"Block 2006, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002007,"Block 2007, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002008,"Block 2008, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002009,"Block 2009, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002010,"Block 2010, Block Group 2, Census Tract 203, Baltimore city, Maryland",9
245100203002011,"Block 2011, Block Group 2, Census Tract 203, Baltimore city, Maryland",11
245100203002012,"Block 2012, Block Group 2, Census Tract 203, Baltimore city, Maryland",19
245100203002013,"Block 2013, Block Group 2, Census Tract 203, Baltimore city, Maryland",44
245100203002014,"Block 2014, Block Group 2, Census Tract 203, Baltimore city, Maryland",118
245100203002015,"Block 2015, Block Group 2, Census Tract 203, Baltimore city, Maryland",59
245100203002016,"Block 2016, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002017,"Block 2017, Block Group 2, Census Tract 203, Baltimore city, Maryland",65
245100203002018,"Block 2018, Block Group 2, Census Tract 203, Baltimore city, Maryland",247
245100203002019,"Block 2019, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002020,"Block 2020, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002021,"Block 2021, Block Group 2, Census Tract 203, Baltimore city, Maryland",120
245100203002022,"Block 2022, Block Group 2, Census Tract 203, Baltimore city, Maryland",46
245100203002023,"Block 2023, Block Group 2, Census Tract 203, Baltimore city, Maryland",35
245100203002024,"Block 2024, Block Group 2, Census Tract 203, Baltimore city, Maryland",70
245100203002025,"Block 2025, Block Group 2, Census Tract 203, Baltimore city, Maryland",7
245100203002026,"Block 2026, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002027,"Block 2027, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002028,"Block 2028, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002029,"Block 2029, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002030,"Block 2030, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002031,"Block 2031, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002032,"Block 2032, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203002033,"Block 2033, Block Group 2, Census Tract 203, Baltimore city, Maryland",0
245100203003000,"Block 3000, Block Group 3, Census Tract 203, Baltimore city, Maryland",16
245100203003001,"Block 3001, Block Group 3, Census Tract 203, Baltimore city, Maryland",46
245100203003002,"Block 3002, Block Group 3, Census Tract 203, Baltimore city, Maryland",77
245100203003003,"Block 3003, Block Group 3, Census Tract 203, Baltimore city, Maryland",23
